load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,22059,138292,15841,6610,7289,20666,8010
1,2,7883,276698,7011,3582,153,2628,2920
1,4,4181,237973,5460,3042,149,2236,3022
1,8,2386,506495,4623,1858,147,1498,1810
1,12,1610,669749,4187,1237,147,1044,1468
1,16,1299,887209,3915,930,149,866,1502
1,32,1052,1218729,3499,921,147,883,1917
10,1,7552,8008,6725,4072,4316,7462,4966
10,2,7586,16023,5237,2126,149,1782,2356
10,4,4709,27682,4179,1778,146,1566,2468
10,8,2405,57158,3939,1318,145,1141,2245
10,12,1570,82870,3854,965,144,864,2764
10,16,1252,106721,4062,853,145,822,2807
10,32,1124,136207,4040,858,144,812,2954
100,1,752,761,744,697,702,751,722
100,2,1420,1523,456,444,125,426,448
100,4,2709,3004,638,353,124,332,452
100,8,5418,6032,640,425,124,400,525
100,12,2013,9014,642,404,124,382,587
100,16,1401,11435,643,395,124,378,582
100,32,1095,14506,702,382,123,362,663
1000,1,76,76,76,75,75,76,76
1000,2,152,153,63,63,48,62,63
1000,4,302,305,63,61,48,60,62
1000,8,605,611,63,61,48,60,63
1000,12,907,917,63,61,49,61,63
1000,16,1151,1162,63,61,49,61,63
1000,32,1428,1438,77,62,50,61,76
10000,1,7,7,7,7,7,7,7
10000,2,15,15,7,7,7,7,7
10000,4,30,30,7,7,7,7,7
10000,8,61,61,7,7,7,7,7
10000,12,92,92,8,8,7,8,8
10000,16,116,116,8,8,7,8,8
10000,32,146,146,9,8,8,8,9
