load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,46875,379676,38039,38513,25217,38754,20156
1,2,26339,298600,21310,15600,8306,12333,14148
1,4,15126,316825,29723,7336,3732,3960,5741
1,8,14699,584820,7978,2195,1128,2160,4717
1,12,13950,570247,8562,1427,599,1433,4239
1,16,13616,684415,9193,1409,417,1506,4581
1,32,14116,1395594,10311,1405,362,1361,5130
10,1,20206,22749,18343,19392,17046,18413,14982
10,2,14519,24716,11115,7181,6365,6730,8819
10,4,13888,26162,5388,3667,2526,3240,4544
10,8,14670,57852,3602,2138,853,1624,2848
10,12,10055,64014,3830,1171,490,1096,3076
10,16,9253,83454,4008,1109,394,1126,3283
10,32,10027,122338,4514,1182,338,1160,3638
100,1,1684,1735,1705,1691,1709,1701,1660
100,2,3014,3228,1166,1099,1089,1183,1161
100,4,5265,5768,764,867,814,711,828
100,8,8935,7850,636,638,480,526,664
100,12,6644,12499,583,454,329,436,579
100,16,6688,13413,586,441,280,428,569
100,32,7263,20309,587,417,266,437,576
1000,1,172,174,175,176,171,171,171
1000,2,323,333,128,126,127,127,129
1000,4,663,640,152,112,110,108,149
1000,8,1175,1288,160,111,109,108,157
1000,12,1736,1789,157,109,109,109,159
1000,16,2234,2345,157,112,108,109,157
1000,32,2569,2684,167,114,109,113,166
10000,1,16,17,17,17,17,17,17
10000,2,34,33,16,16,16,16,16
10000,4,67,67,16,16,16,16,16
10000,8,132,128,17,15,16,16,16
10000,12,194,194,16,16,16,16,17
10000,16,255,255,17,16,16,16,17
10000,32,289,306,18,17,17,17,18
