load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,69173,138343,15845,6610,8958,20911,20242
1,2,53235,276711,6112,3639,6923,8039,7048
1,4,55675,237964,5240,3074,5171,4312,4276
1,8,133197,506106,4683,1867,2946,2933,2759
1,12,165406,669545,4053,1260,1324,1728,1822
1,16,222523,866960,3780,940,1290,1420,1353
1,32,389106,1195968,3143,931,2498,2162,2304
10,1,7572,8009,6725,4072,4597,7491,7459
10,2,13940,16023,4785,2119,6144,7498,7668
10,4,27429,28510,4347,1786,6286,4774,4786
10,8,48507,57099,3966,1371,2420,2622,3314
10,12,76008,83521,3973,979,1319,1894,1744
10,16,101547,111112,3938,862,1183,1505,1476
10,32,122064,139669,4140,868,2536,2179,2183
100,1,754,761,744,697,711,752,752
100,2,1491,1523,458,444,1343,1416,1408
100,4,2933,3004,636,363,2669,2717,2707
100,8,5866,6034,636,425,5101,5390,5394
100,12,8792,9015,646,407,2743,3311,3315
100,16,11718,12008,641,396,1537,1646,1899
100,32,14071,14273,704,379,2601,2520,2519
1000,1,76,76,76,75,75,76,76
1000,2,152,153,63,63,151,151,151
1000,4,304,305,63,61,302,302,302
1000,8,610,611,63,60,603,605,605
1000,12,914,917,63,61,905,907,907
1000,16,1219,1223,63,61,1207,1209,1209
1000,32,1466,1463,76,61,1451,1457,1458
10000,1,7,7,7,7,7,7,7
10000,2,15,15,7,7,15,15,15
10000,4,30,30,7,7,30,30,30
10000,8,61,61,7,7,61,61,61
10000,12,92,92,8,8,91,92,92
10000,16,123,123,8,8,122,123,123
10000,32,147,145,9,9,143,145,145
