load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,70696,613606,49826,3616,25199,60140,3376
1,2,21218,1194282,358,4798,609,10515,4344
1,4,17174,719216,302,4128,594,6016,4045
1,8,18909,670326,312,3167,589,3053,2866
1,12,18970,777860,317,3164,579,2978,2855
1,16,19095,1181831,307,3156,551,2971,2858
1,32,18242,2258286,312,3151,501,2932,2855
10,1,27014,30104,22365,3100,14646,25224,2919
10,2,18416,58565,345,4541,577,6769,4185
10,4,18190,67363,306,4488,572,5827,4579
10,8,21957,88827,314,3195,566,3008,2867
10,12,21126,102019,307,3170,565,2953,2863
10,16,21181,117379,318,3171,537,2948,2861
10,32,20260,140493,304,3246,482,2944,2867
100,1,1944,1966,1914,1254,1843,1931,1226
100,2,3690,3823,305,2197,457,2094,2117
100,4,6837,7181,266,3920,451,3668,3703
100,8,11673,12403,262,4204,443,4551,4092
100,12,11537,12263,268,4089,437,4383,3991
100,16,11674,12521,272,4088,423,4378,3995
100,32,12220,12989,273,4028,383,4330,3988
1000,1,190,190,190,180,189,190,180
1000,2,370,371,124,347,138,344,344
1000,4,719,721,126,672,137,665,665
1000,8,1323,1317,118,1233,137,1218,1218
1000,12,1328,1325,118,1238,138,1220,1222
1000,16,1333,1330,118,1240,137,1224,1225
1000,32,1338,1335,115,1248,133,1232,1233
10000,1,19,19,19,18,19,19,18
10000,2,37,37,17,36,17,36,36
10000,4,72,72,17,71,17,71,71
10000,8,134,132,17,133,17,133,133
10000,12,134,133,17,133,17,133,132
10000,16,133,132,17,133,18,133,133
10000,32,134,134,18,134,18,133,133
