load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,206127,393050,39765,40266,22332,40866,42344
1,2,125688,245609,23145,19508,12441,20144,20640
1,4,118225,316732,11758,4217,7027,10159,10758
1,8,207277,405671,7744,2513,4635,10713,10017
1,12,257893,609114,8608,1640,4783,10319,11539
1,16,316076,715143,9057,1495,5120,10366,10821
1,32,624036,1416395,10192,1439,5683,11183,11282
10,1,20760,23042,18897,19288,16488,18380,18773
10,2,24952,26394,11099,9354,8284,12866,12869
10,4,27361,30599,5009,3041,4656,9362,9525
10,8,52577,56273,3641,1836,3560,8167,8878
10,12,59028,66231,3762,1242,3477,7347,7473
10,16,61146,70645,3955,1223,3849,7581,7539
10,32,102687,125426,4441,1148,4274,7318,7616
100,1,1772,1752,1704,1694,1678,1683,1694
100,2,3179,3283,1173,1029,2796,2997,3026
100,4,6292,6503,840,605,3133,5565,5470
100,8,10477,9785,705,487,1996,6555,7873
100,12,12615,13594,563,441,1547,5152,5458
100,16,16227,16425,572,404,1515,5221,5401
100,32,16939,18746,586,427,1593,5381,5608
1000,1,174,173,170,174,172,170,172
1000,2,334,326,128,131,334,335,332
1000,4,657,650,152,110,644,659,653
1000,8,1224,1260,160,110,1057,1225,1257
1000,12,1802,1819,160,111,1218,1731,1689
1000,16,2330,2388,157,109,1347,2294,2292
1000,32,2922,2946,165,115,1455,2855,2823
10000,1,16,18,17,17,18,17,17
10000,2,33,34,16,16,33,33,33
10000,4,65,67,17,16,68,67,66
10000,8,134,130,17,16,129,129,129
10000,12,192,193,17,16,188,195,195
10000,16,254,256,17,16,232,246,248
10000,32,313,322,18,18,292,320,321
