load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,52125,365601,39194,39425,22463,39194,22688
1,2,26775,240237,20379,13466,10352,17797,12495
1,4,15801,293211,12211,4344,3895,1597,14026
1,8,15659,464050,8262,3433,3140,834,12648
1,12,14099,553561,7379,1560,2341,523,10697
1,16,14922,665021,7531,1441,2013,443,9104
1,32,16001,1329909,8885,1375,1914,321,8093
10,1,18770,22601,17914,18511,15103,17988,14584
10,2,14619,24152,11817,8051,6134,7537,8205
10,4,15390,45927,7264,3165,3549,1323,12989
10,8,10251,58332,4333,2005,2819,650,10042
10,12,9349,68448,3726,1231,2490,477,9532
10,16,8519,70245,3731,1190,2287,432,9086
10,32,10047,122344,4295,1208,2398,333,6396
100,1,1753,1776,1677,1785,1729,1700,1675
100,2,3043,3235,1207,1129,1017,922,1128
100,4,3410,5668,987,670,931,516,1344
100,8,6206,10862,756,583,751,372,1176
100,12,5956,14103,608,418,640,316,1046
100,16,6019,16331,561,407,640,284,853
100,32,6210,19837,574,410,646,234,760
1000,1,174,177,165,178,175,170,169
1000,2,325,332,133,135,134,127,131
1000,4,660,653,151,114,127,107,155
1000,8,1253,1266,161,109,120,101,154
1000,12,1702,1802,155,110,121,99,159
1000,16,2268,2352,161,111,119,99,155
1000,32,1548,1583,167,115,121,101,167
10000,1,15,15,14,16,15,16,15
10000,2,31,31,16,16,16,15,16
10000,4,41,62,16,16,16,15,16
10000,8,92,95,17,16,16,16,17
10000,12,98,116,17,17,16,15,17
10000,16,233,237,17,17,17,16,17
10000,32,309,289,19,17,17,17,18
