load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,78652,389159,38713,39639,24796,41046,29779
1,2,52191,319710,35100,29000,15956,13485,14717
1,4,25702,361530,27260,9065,7893,13730,20704
1,8,18094,549463,15978,3131,5294,1402,18638
1,12,23043,719715,13040,3527,4973,378,18348
1,16,23467,821886,9792,2650,4820,186,16482
1,32,26372,1477801,10705,1897,4647,178,15259
10,1,19252,21604,17217,17649,15717,17317,15187
10,2,16011,24213,10869,8098,5874,5184,9397
10,4,16849,32547,6193,4647,4129,434,13011
10,8,15114,44583,6216,1817,3139,380,11408
10,12,12053,54039,5486,3684,3953,398,12043
10,16,9778,77734,4040,1286,2775,225,11589
10,32,10656,118054,4551,1178,2537,217,12094
100,1,1718,1761,1710,1700,1684,1707,1715
100,2,2995,3240,1191,1140,956,794,1010
100,4,5236,5534,792,560,1172,289,1407
100,8,5982,7791,637,499,1048,226,1406
100,12,6913,11039,576,434,904,211,1379
100,16,7257,12713,602,487,900,177,1351
100,32,7795,18477,576,435,860,170,1431
1000,1,166,169,167,167,173,166,174
1000,2,320,333,147,147,133,149,146
1000,4,652,647,158,112,144,113,165
1000,8,1205,1213,167,108,143,89,165
1000,12,1590,1709,169,110,142,81,164
1000,16,2164,2252,170,111,145,77,166
1000,32,2546,2601,171,114,146,71,163
10000,1,17,17,17,16,16,16,16
10000,2,33,34,17,16,16,17,16
10000,4,66,66,16,16,16,16,15
10000,8,131,130,16,15,16,15,16
10000,12,190,191,17,15,16,15,16
10000,16,233,240,17,16,16,15,16
10000,32,301,292,18,17,17,16,17
