load,threads,atomic,null,mutex,semaphore,pthread,losing,rwl
1,1,424795,613859,49880,3620,25573,60190,63505
1,2,158583,162629,344,4883,7490,14108,15567
1,4,196143,710494,307,3946,5316,7371,7475
1,8,254416,696917,312,3214,4105,6510,6566
1,12,360246,727937,312,3190,4127,6478,6488
1,16,587882,1324317,310,3183,4133,6489,6507
1,32,1043112,2288963,314,3195,4167,6503,6598
10,1,28739,30053,22345,3097,15018,24814,25492
10,2,34475,58635,347,4580,7664,13612,13448
10,4,58125,67383,308,4520,5523,8274,8361
10,8,81798,88602,311,3203,4250,6934,6896
10,12,91100,98709,310,3195,4257,6911,6881
10,16,103421,116572,312,3201,4266,6897,6880
10,32,131103,138601,308,3191,4299,6842,6861
100,1,1955,1969,1916,1252,1852,1933,1938
100,2,3708,3826,301,2189,3380,3665,3676
100,4,7133,7183,270,4095,6404,6789,6783
100,8,12493,12476,267,4194,7843,10349,10341
100,12,12259,12314,266,4114,7727,10304,10418
100,16,12393,12453,269,4094,7836,10648,10690
100,32,12888,12948,270,4038,7852,11074,11124
1000,1,191,191,190,181,190,190,190
1000,2,370,371,124,347,366,370,370
1000,4,721,721,126,672,712,720,719
1000,8,1331,1318,118,1234,1299,1313,1312
1000,12,1334,1321,118,1237,1302,1315,1316
1000,16,1330,1322,117,1240,1306,1322,1322
1000,32,1343,1334,115,1247,1314,1331,1331
10000,1,19,19,19,18,19,19,19
10000,2,37,37,17,36,37,37,37
10000,4,72,72,17,71,72,72,72
10000,8,134,132,17,133,132,132,133
10000,12,134,133,17,133,133,133,133
10000,16,134,133,17,133,133,133,133
10000,32,134,134,18,134,134,134,134
